Kernel,Pooling,Optimizer,Epochs,Loss,Accuracy,Precision,Recall,F1-Score
3,max,SGD,5,0.7991442974571072,69.99,0.7096938679954486,0.6999000000000001,0.698257614244685
3,max,SGD,50,0.15827717026100135,72.28,0.7351129744936389,0.7228,0.7252461853366726
3,max,SGD,100,0.022548030235368728,72.52,0.7289375902481746,0.7252000000000001,0.7251692702738339
3,max,SGD,250,0.0005289966899939143,73.65,0.7362692961343871,0.7365000000000002,0.7362888096220888
3,max,SGD,350,0.0005056019706438388,73.67,0.7364122669490161,0.7367000000000001,0.7364619376351421
3,max,RMSprop,5,1.252019221825368,48.66,0.5469215076396181,0.48660000000000003,0.4810019471073058
3,max,RMSprop,50,0.5877689954722324,60.04,0.6072321272327945,0.6004,0.6015874769869043
3,max,RMSprop,100,0.09473267098998323,62.62,0.6281567084451705,0.6262000000000001,0.6268646990289019
3,max,RMSprop,250,0.06574572826071126,62.28,0.6249195845698735,0.6228,0.6235592225659163
3,max,RMSprop,350,0.05187441668023005,61.77,0.619167251463892,0.6176999999999999,0.6182448096913407
3,max,Adam,5,0.685648135364513,70.58,0.7080376569469808,0.7058,0.7018826679327798
3,max,Adam,50,0.1339935948190939,71.77,0.7159440098495258,0.7177,0.7150604820945767
3,max,Adam,100,0.042421901138866194,70.4,0.7052140977645308,0.704,0.7027876197803578
3,max,Adam,250,0.0007418565878012191,71.79,0.7189514334763355,0.7179,0.718268073132825
3,max,Adam,350,2.4401759914968244e-05,72.28,0.7235079531726367,0.7228,0.7230094048555191
3,avg,SGD,5,1.0508316965664135,62.02,0.6190144621933031,0.6202,0.6150359333057626
3,avg,SGD,50,0.15617887247020326,68.93,0.6936426489300687,0.6893,0.6907572374283795
3,avg,SGD,100,0.0022043935614256926,70.37,0.7036268873946153,0.7037000000000001,0.7036285292726362
3,avg,SGD,250,0.001622497231986545,70.41,0.7040869040396118,0.7041000000000001,0.7040456470190848
3,avg,SGD,350,0.0014409642659730332,70.37,0.7036409102911557,0.7037000000000001,0.7036209838485123
3,avg,RMSprop,5,1.1556347314354098,57.55,0.5792735867540723,0.5755000000000001,0.5653612066111744
3,avg,RMSprop,50,0.39763793223501775,60.66,0.612117712609917,0.6066,0.6061824221174287
3,avg,RMSprop,100,0.2614645878677173,58.81,0.5999984173050986,0.5881000000000001,0.5921008642475203
3,avg,RMSprop,250,0.006878803311379703,62.15,0.6223572199559662,0.6214999999999999,0.6217525583355716
3,avg,RMSprop,350,0.0030252265932807034,62.1,0.6228687352018213,0.6209999999999999,0.6216915626184478
3,avg,Adam,5,0.8235661459091069,67.88,0.6803583476247282,0.6788,0.6730984481465604
3,avg,Adam,50,0.09629284698144554,69.51,0.6945203363590178,0.6951,0.6925221668971402
3,avg,Adam,100,0.06603148887815226,69.48,0.7001452895873932,0.6948000000000001,0.696122733725018
3,avg,Adam,250,0.000683884839336757,70.73,0.7073083642835319,0.7073,0.7071029077954188
3,avg,Adam,350,0.00017508157395550508,70.67,0.7071528151366792,0.7066999999999999,0.7067722665474865
5,max,SGD,5,0.7380563065676433,71.21,0.7135584106519002,0.7121,0.7090067650802651
5,max,SGD,50,0.05230434745540628,73.5,0.7397125957658897,0.735,0.7365199671034816
5,max,SGD,100,0.00043462107930590857,74.87,0.7486599849800537,0.7487,0.7486343098514779
5,max,SGD,250,0.0003611971997856008,74.95,0.7494549493908285,0.7495,0.7494280669583828
5,max,SGD,350,0.00034685511357279594,74.93,0.7492365268075785,0.7493,0.7492211992494758
5,max,RMSprop,5,1.6842854663234232,45.14,0.46312949216589916,0.4513999999999999,0.4422017747851238
5,max,RMSprop,50,0.3798410354367912,61.71,0.6332957721494514,0.6171,0.6213373511001569
5,max,RMSprop,100,0.3242341084096133,61.24,0.6280355557215427,0.6124,0.6163591904652947
5,max,RMSprop,250,0.2880923594431499,61.09,0.6244697308469366,0.6108999999999999,0.6146900853508964
5,max,RMSprop,350,0.25671208104895205,60.98,0.623559659974521,0.6098000000000001,0.6138108438351948
5,max,Adam,5,0.6368376300920306,71.6,0.7197071848612452,0.716,0.7118492489346028
5,max,Adam,50,0.12371362571406852,71.48,0.716851691454098,0.7148000000000001,0.711276257085188
5,max,Adam,100,0.05673719257535532,70.91,0.7117707052747542,0.7091000000000001,0.7086578280290856
5,max,Adam,250,4.853247507998441e-05,72.91,0.7297849372175818,0.7291000000000001,0.7293776274594737
5,max,Adam,350,1.2274947578908163e-05,73.08,0.7315257836052222,0.7308000000000001,0.7310710481612405
5,avg,SGD,5,0.9670271525907395,63.81,0.6436491436422775,0.6380999999999999,0.635978535605299
5,avg,SGD,50,0.12995621832587834,70.3,0.7076906144842001,0.7030000000000001,0.7022534027546015
5,avg,SGD,100,0.0006569703213770486,71.91,0.7182977153202581,0.7191000000000001,0.7186215390647943
5,avg,SGD,250,0.0005320815104202789,71.98,0.7189202959677677,0.7198,0.7192678491768237
5,avg,SGD,350,0.0005294467197329788,71.99,0.7190470135464639,0.7199,0.7193832652621985
5,avg,RMSprop,5,2.2110153817764635,41.77,0.42666920914530565,0.41769999999999996,0.40171178129936963
5,avg,RMSprop,50,0.6569387161213419,55.93,0.5628046727607503,0.5593,0.5495315804166396
5,avg,RMSprop,100,0.5307854706673976,58.47,0.5845399511562185,0.5847,0.5829410583984359
5,avg,RMSprop,250,0.05799069314899728,61.14,0.6126226686933439,0.6113999999999999,0.611940664130651
5,avg,RMSprop,350,0.0410074148981539,60.84,0.6080756689039685,0.6083999999999999,0.6080989779001149
5,avg,Adam,5,0.7209166719023224,70.07,0.7045551889225445,0.7007000000000001,0.698706564410515
5,avg,Adam,50,0.1470688555170508,70.93,0.7097585176098488,0.7093,0.7082487842090651
5,avg,Adam,100,0.0467239561338273,69.88,0.7075799757494335,0.6988000000000001,0.7011573942808365
5,avg,Adam,250,0.0004097895972799007,72.28,0.7226455283993782,0.7228,0.7225937771050408
5,avg,Adam,350,9.96770746389623e-05,72.27,0.7229332372395196,0.7227,0.7227004527642691
7,max,SGD,5,0.7293123721009325,69.59,0.7110703333108754,0.6959,0.6929907225911438
7,max,SGD,50,0.05405457012231469,72.58,0.7262028492255386,0.7258000000000001,0.7239830113764654
7,max,SGD,100,0.0002067101360617272,74.19,0.7418366634490955,0.7419,0.7417562240703742
7,max,SGD,250,0.00019618667117247054,74.18,0.7417044037356425,0.7418,0.7416387620898137
7,max,SGD,350,0.00017714525904262895,74.22,0.7420953910124796,0.7422000000000002,0.7420220625797881
7,max,RMSprop,5,2.3033646689656444,10.0,0.01,0.1,0.01818181818181818
7,max,RMSprop,50,2.3033510303253406,10.0,0.01,0.1,0.01818181818181818
7,max,RMSprop,100,2.3034600863981125,10.0,0.01,0.1,0.01818181818181818
7,max,RMSprop,250,2.3033751203580892,10.0,0.01,0.1,0.01818181818181818
7,max,RMSprop,350,2.3034236394535856,10.0,0.01,0.1,0.01818181818181818
7,max,Adam,5,0.6275002771936109,69.9,0.709072985171952,0.6990000000000001,0.7000531399371612
7,max,Adam,50,0.09159543000333145,69.55,0.6980841108461393,0.6955,0.6954281195623928
7,max,Adam,100,0.08083914608225379,69.83,0.7012785153520288,0.6982999999999999,0.6987918872038705
7,max,Adam,250,1.0704181499292349e-05,71.98,0.7211498636931755,0.7198,0.720317996797856
7,max,Adam,350,5.893587919318864e-06,71.97,0.7207730607462658,0.7197,0.7200897592880746
7,avg,SGD,5,0.9236220662551158,65.15,0.6607087805246987,0.6515,0.6448853472213293
7,avg,SGD,50,0.14827818569281828,70.49,0.702016163035802,0.7049,0.7023829543129041
7,avg,SGD,100,0.00048793594384461146,72.11,0.7212232310988356,0.7211,0.7210500249585695
7,avg,SGD,250,0.00043182311769541533,72.12,0.7212440034128837,0.7212,0.7210978219512075
7,avg,SGD,350,0.00040811251322238627,72.13,0.7213439540380786,0.7213,0.7212002751688558
7,avg,RMSprop,5,1.9519585035646054,33.27,0.3236303294359134,0.3327,0.31085866445868604
7,avg,RMSprop,50,1.3484383885512876,45.92,0.4993897760627589,0.45920000000000005,0.4592805210158935
7,avg,RMSprop,100,0.7469165229126621,58.09,0.5852118265808255,0.5809,0.5818827425066433
7,avg,RMSprop,250,0.6435840616140829,57.55,0.5791226829314379,0.5755,0.5761736402507396
7,avg,RMSprop,350,0.5757449491859397,57.12,0.5748470090719648,0.5711999999999999,0.5725000549342965
7,avg,Adam,5,0.7155107203346994,69.26,0.6950440908143628,0.6926,0.6886518127001537
7,avg,Adam,50,0.16397598254330017,70.66,0.707340306701701,0.7066,0.7048065521583403
7,avg,Adam,100,0.06995497088965096,69.81,0.7035195581766337,0.6980999999999999,0.6984357095005093
7,avg,Adam,250,0.06274980206109221,69.6,0.7001267874299159,0.696,0.6969204000756994
7,avg,Adam,350,7.83297239724417e-06,71.91,0.7182946813141273,0.7191,0.7186111166139587
